id,year,month,day,hr,min,sec,Lat,Lon,depth,Mw,time_date
64,2016,8,24,7,48,8,42.777,13.2043,9.9,3.08,24/08/2016 07:48
65,2016,8,24,7,52,17,42.6428,13.2893,2.5,3.16,24/08/2016 07:52
66,2016,8,24,7,53,1,42.806,13.1683,9.1,3.27,24/08/2016 07:53
67,2016,8,24,8,55,33,42.8265,13.2725,6.7,3.07,24/08/2016 08:55
68,2016,8,24,9,2,58,42.8187,13.195,10.3,3.16,24/08/2016 09:02
69,2016,8,24,9,31,43,42.8123,13.1727,9.9,3.74,24/08/2016 09:31
70,2016,8,24,9,43,48,42.6618,13.2958,9,3.08,24/08/2016 09:43
71,2016,8,24,10,6,41,42.7437,13.1793,10.5,3.16,24/08/2016 10:06
72,2016,8,24,10,9,26,42.6535,13.3092,15.8,3.06,24/08/2016 10:09
73,2016,8,24,10,15,10,42.716,13.219,9.6,3.03,24/08/2016 10:15
74,2016,8,24,11,31,53,42.7458,13.1927,10.9,3.09,24/08/2016 11:31
75,2016,8,24,11,50,30,42.8188,13.1463,8.4,4.7,24/08/2016 11:50
76,2016,8,24,11,59,59,42.8313,13.1403,9,3.46,24/08/2016 11:59
77,2016,8,24,12,6,9,42.8327,13.1438,10,3.57,24/08/2016 12:06
78,2016,8,24,12,18,26,42.8207,13.1248,7.8,3.39,24/08/2016 12:18
79,2016,8,24,13,33,13,42.6888,13.3113,5.5,3.13,24/08/2016 13:33
80,2016,8,24,14,2,20,42.7992,13.253,8.3,3.91,24/08/2016 14:02
81,2016,8,24,14,3,30,42.801,13.179,10,3.2,24/08/2016 14:03
82,2016,8,24,14,45,10,42.7288,13.1973,8.5,3.21,24/08/2016 14:45
83,2016,8,24,15,39,27,42.7973,13.2405,8.9,3.1,24/08/2016 15:39
84,2016,8,24,16,34,47,42.7352,13.2375,9.4,3.06,24/08/2016 16:34
85,2016,8,24,17,38,0,42.8012,13.2493,7.5,3.01,24/08/2016 17:38
86,2016,8,24,17,46,9,42.6628,13.2222,10,4.4,24/08/2016 17:46
87,2016,8,24,18,36,6,42.6887,13.166,10.2,3.13,24/08/2016 18:36
88,2016,8,24,18,42,30,42.7757,13.1663,10,3.14,24/08/2016 18:42
89,2016,8,24,20,21,35,42.7815,13.1542,8.3,3.63,24/08/2016 20:21
90,2016,8,24,21,45,44,42.8038,13.1722,10.1,3.1,24/08/2016 21:45
